Date,XLU,XLB,XLI,XLE,XLY,XLP,XLV,XLK,XLF,Cash,Total
2001-May-18,25074.9,2242.96,6294.15,17374.7,9374.24,8401.23,6321,-8227.71,14308.6,19332.9,100497
2001-May-21,25165.3,2262.28,6355.22,17334.6,9479.2,8394.77,6417.6,-8593.2,14510.2,19332.9,100659
2001-May-22,25074.9,2219.04,6335.52,17159.2,9512,8310.79,6426,-8576.46,14656.3,19332.9,100450
2001-May-23,25067.4,2181.32,6238.99,16898.7,9341.44,8236.5,6318.9,-8367.21,14595.8,19332.9,99844.8
2001-May-24,24999.6,2121.52,6231.11,16868.7,9308.64,8272.03,6396.6,-8431.38,14651.3,19332.9,99751
2001-May-25,24608,2124.28,6138.52,16723.4,9262.72,8204.2,6350.4,-8272.35,14454.7,19332.9,98926.8
2001-May-29,24593,2152.8,6122.76,16698.3,9190.56,8272.03,6302.1,-7962.66,14464.8,19332.9,99166.6
2001-May-30,24487.6,2108.64,5998.65,16633.2,9023.28,8317.25,6281.1,-7639.02,14343.8,19332.9,98887.4
2001-May-31,24871.6,2111.4,6081.39,16808.5,9167.6,8259.11,6279,-7708.77,14469.8,19332.9,99672.6
2001-Jun-01,24366,2059.46,5848.2,11155.6,8995.55,8291.2,6796.68,-8120.9,19202.2,20726.1,99320.1
2001-Jun-04,24380.9,2082.6,5886.2,11305.9,8966.48,8304,6805.8,-8103.56,19356.3,20726.1,99710.7
2001-Jun-05,24023.8,2106.63,5948.9,11339.3,9073.07,8390.4,6869.64,-8424.35,19443.4,20726.1,99496.8
2001-Jun-06,23830.3,2069.25,5880.5,11052.1,8979.4,8256,6814.92,-8343.43,19296,20726.1,98561.1
2001-Jun-07,23629.4,2093.28,5907.1,10921.8,9047.23,8313.6,6853.68,-8580.41,19168.7,20726.1,98080.5
2001-Jun-08,23718.7,2085.27,5834.9,10951.9,9079.53,8265.6,6817.2,-8389.67,19054.8,20726.1,98144.3
2001-Jun-11,23941.9,2055.9,5734.2,10981.9,8943.87,8150.4,6783,-8250.95,18873.9,20726.1,97940.3
2001-Jun-12,24150.2,2038.1,5772.2,11065.4,9011.7,8246.4,6767.04,-8187.37,18934.2,20726.1,98524
2001-Jun-13,23651.8,2045.22,5751.3,11012,8914.8,8182.4,6735.12,-8002.41,18780.1,20726.1,97796.4
2001-Jun-14,22952.4,1993.6,5713.3,10788.2,8821.13,8176,6609.72,-7716.3,18451.8,20726.1,96515.9
2001-Jun-15,22930.1,1978.47,5671.5,10818.3,8714.54,8102.4,6589.2,-7644.05,18478.6,21076,96715
2001-Jun-18,22959.8,1958.89,5663.9,10698,8808.21,8128,6488.88,-7453.31,18525.5,21076,96853.9
2001-Jun-19,23049.1,1963.34,5605,10688,8837.28,8153.6,6507.12,-7482.21,18693,21076,97090.3
2001-Jun-20,23108.6,1981.14,5629.7,10487.6,8966.48,8198.4,6648.48,-7560.24,18793.5,21076,97329.7
2001-Jun-21,22506,1971.35,5654.4,10330.6,9127.98,8268.8,6723.72,-7701.85,19550.6,21076,97507.6
2001-Jun-22,22759,1940.2,5605,10531,9037.54,8038.4,6637.08,-7629.6,19296,21076,97290.6
2001-Jun-25,22491.1,1917.95,5530.9,10407.4,8921.26,7996.8,6653.04,-7739.42,19141.9,21076,96397
2001-Jun-26,22825.9,1935.75,5546.1,10470.9,8801.75,7996.8,6550.44,-7782.77,18900.7,21076,96321.6
2001-Jun-27,22878,1953.55,5534.7,10220.4,8759.76,7936,6657.6,-7800.11,18907.4,21076,96123.3
2001-Jun-28,22930.1,1955.33,5553.7,10003.3,8898.65,7987.2,6707.76,-7953.28,19155.3,21076,96314
2001-Jun-29,23175.6,1963.34,5491,10136.9,8937.41,7779.2,6737.4,-8141.13,19028,21076,96183.7
2001-Jul-02,9403.24,2028.39,5805.36,10897.2,8884.92,4451.73,10416,-1041.55,26795,19243.3,96883.6
2001-Jul-03,9427.32,2022.02,5841,10882.8,8869.02,4415.93,10416,-1037.85,26776.4,19243.3,96855.9
2001-Jul-05,9505.58,2013.83,5795.46,10980,8687.76,4389.08,10293.5,-1004.55,26608.6,19243.3,96512.6
2001-Jul-06,9496.55,1990.17,5688.54,10940.4,8481.06,4337.17,10101,-958.3,26068,19243.3,95387.9
2001-Jul-09,9583.84,2008.37,5706.36,10785.6,8541.48,4403.4,10045,-970.51,26151.9,19243.3,95498.8
